event,Prec_phi_g,N_generated_in_event,e_accepted_in_event,ep_accepted_in_event
0,103.005,12,8,5
1,-126.68,7,4,3
2,20.4566,19,12,10
3,77.6513,10,3,3
4,-79.014,7,3,1
5,-15.0771,11,5,5
6,-128.543,14,10,5
7,-66.2612,11,6,5
8,48.5209,6,3,2
9,-37.6044,11,5,1
10,43.453,8,6,3
11,68.1066,10,6,2
12,-75.6397,14,8,5
13,-107.643,17,10,8
14,41.3806,8,5,3
15,-127.266,7,3,2
16,52.4799,9,7,4
17,167.121,9,5,4
18,124.877,8,4,2
19,-66.2667,9,6,5
20,61.9023,10,8,4
21,164.839,14,9,6
22,78.0823,8,2,1
23,-97.7117,10,4,1
24,-132.676,14,6,4
25,-158.652,9,4,4
26,-124.449,9,6,4
27,36.9845,11,6,3
28,124.053,12,9,5
29,39.0809,11,6,4
30,81.9821,13,8,5
31,-67.9417,6,3,0
32,112.798,6,4,2
33,-138.775,7,4,2
34,-51.8328,14,12,8
35,-136.738,11,5,5
36,-97.4364,11,3,1
37,75.3951,19,9,5
38,-56.1439,9,4,3
39,111.802,13,9,6
40,-56.1941,11,9,8
41,-168.208,16,11,7
42,-120.588,13,6,3
43,-1.74826,12,7,5
44,-166.721,18,11,9
45,-3.2741,10,8,3
46,3.06868,12,9,3
47,38.217,16,12,6
48,-55.4713,12,9,5
49,1.80962,12,10,6
50,134.005,8,4,0
51,-1.94303,10,5,3
52,19.8235,15,9,4
53,76.0804,9,6,4
54,7.0362,11,6,4
55,170.989,12,9,6
56,73.0329,9,6,5
57,-134.083,8,5,3
58,16.3491,25,12,9
59,-135.65,14,8,3
60,-15.5755,15,5,3
61,177.814,12,9,4
62,80.9629,7,3,1
63,71.6301,6,1,1
64,-118.302,4,3,0
65,17.1493,11,6,5
66,79.7424,8,1,1
67,-114.849,14,8,6
68,-132.845,7,3,1
69,-110.354,15,9,7
70,66.3868,8,3,2
71,4.38549,6,3,1
72,-41.2621,10,5,2
73,-57.4351,13,11,8
74,-82.9357,9,4,3
75,133.648,15,8,4
76,-124.635,9,6,4
77,-39.0959,12,5,1
78,71.8465,8,7,5
79,-167.549,9,8,4
80,172.612,10,9,4
81,-162.615,15,6,4
82,159.823,15,11,7
83,174.984,12,9,9
84,-60.0887,10,9,6
85,-69.561,7,4,2
86,-111.12,5,3,1
87,-101.104,9,3,1
88,176.411,16,13,10
89,-179.225,13,11,9
90,-62.6968,15,13,8
91,-157.605,11,4,1
92,-166.042,8,4,4
93,7.39169,6,3,2
94,-48.4091,10,8,6
95,-176.193,11,9,7
96,-143.073,8,3,3
97,111.55,12,8,3
98,-17.1092,12,5,4
99,135.291,10,5,2
100,170.644,14,11,7
101,136.165,16,10,3
102,-114.176,13,12,6
103,164.149,9,5,3
104,-55.2808,17,10,4
105,-116.15,11,10,5
106,-177.615,13,11,5
107,-138.117,9,3,1
108,163.079,12,6,1
109,-119.725,7,5,1
110,-138.212,11,6,6
111,-119.237,9,8,7
112,161.789,9,4,2
113,20.7804,13,5,2
114,160.61,9,4,3
115,-117.995,10,8,6
116,51.4051,9,5,2
117,10.9374,10,6,4
118,16.5825,10,6,5
119,-158.104,6,2,1
120,126.732,13,10,4
121,-162.044,13,9,7
122,65.4042,13,12,5
123,178.356,8,7,5
124,-126.649,17,14,10
125,-101.114,13,5,4
126,118.465,7,2,1
127,17.1795,12,6,5
128,-157.379,7,6,3
129,-161.158,8,3,1
130,3.93065,12,5,1
131,176.223,12,10,6
132,-74.3007,8,6,4
133,7.16005,9,5,4
134,52.5005,6,4,2
135,-105.377,13,7,1
136,-120.777,11,10,6
137,-128.116,14,8,5
138,175.301,7,6,5
139,83.5972,10,5,4
140,172.544,8,5,4
141,-17.8503,11,4,4
142,-176.435,9,7,4
143,-43.7101,9,7,4
144,10.0286,10,4,2
145,-108.734,9,5,4
146,-71.5444,14,6,3
147,164.333,6,4,3
148,61.62,15,11,7
149,-176.744,12,11,7
150,68.6653,16,11,5
151,170.423,15,8,4
152,-3.80799,7,4,3
153,-121.317,9,6,6
154,106.837,8,1,1
